CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
8000,56,Female,136912,Social Media,Awareness,6497.87,0.0439,0.088,0,2.399,7.3968,19,6,9,4,688,1
8001,69,Male,41760,Email,Retention,3898.67,0.1557,0.1827,42,2.9171,5.3525,5,2,7,2,3459,1
8002,46,Female,88456,PPC,Awareness,1546.43,0.2775,0.0764,2,8.2236,13.7949,0,11,2,8,2337,1
8003,32,Female,44085,PPC,Conversion,539.53,0.1376,0.088,47,4.5409,14.6884,89,2,2,0,2463,1
8004,60,Female,83964,PPC,Conversion,1678.04,0.2529,0.1099,0,2.0468,13.9934,6,6,6,8,4345,1
8005,25,Female,42925,Social Media,Awareness,9579.39,0.1538,0.1613,6,2.1258,7.7528,95,5,8,0,3316,1
8006,38,Female,25615,Referral,Awareness,7302.9,0.041,0.061,42,1.754,10.6987,54,14,3,6,930,1
8007,56,Female,57083,Social Media,Conversion,5324.28,0.0529,0.1889,48,2.626,2.9878,96,9,3,0,2983,1
8008,36,Female,140788,Email,Retention,9421.25,0.0235,0.1126,13,5.4728,14.2874,73,4,8,5,460,1
8009,40,Male,130764,Social Media,Awareness,6229.19,0.0666,0.1698,22,1.1357,4.6133,14,8,4,8,3789,1
8010,28,Male,88319,PPC,Retention,7283.89,0.2691,0.1099,47,2.0542,3.2947,94,16,5,6,1987,1
8011,28,Male,29605,SEO,Awareness,2898.25,0.1986,0.1567,16,9.1641,1.3723,23,18,6,5,2403,1
8012,41,Male,131093,Email,Conversion,5930.92,0.2243,0.0198,13,8.8892,8.4804,28,16,5,4,2946,1
8013,53,Male,64608,SEO,Awareness,1520.42,0.1903,0.1619,8,8.4977,14.2527,81,8,1,2,2818,1
8014,57,Male,148788,Email,Awareness,4104.38,0.1221,0.1096,20,7.3565,2.466,70,16,8,1,3247,1
8015,41,Female,39192,Email,Awareness,429.08,0.0729,0.0954,44,6.9537,2.252,33,0,1,1,4474,0
8016,20,Female,23331,PPC,Conversion,2244.62,0.2784,0.0312,1,3.4796,4.4527,77,7,8,8,3252,1
8017,39,Female,71330,Social Media,Conversion,841.2,0.1593,0.1509,31,4.015,10.1482,83,18,5,2,3463,1
8018,19,Female,117392,PPC,Conversion,3939.01,0.1495,0.0349,7,3.1222,8.4433,92,8,4,6,2222,1
8019,41,Female,69949,PPC,Consideration,8446.05,0.2989,0.0465,35,9.8228,1.895,36,7,7,3,3644,1
8020,61,Female,88382,PPC,Consideration,3841.55,0.1213,0.034,25,6.7087,6.9134,41,5,1,6,1651,1
8021,47,Female,119233,SEO,Consideration,8333.23,0.2577,0.0112,36,9.6919,1.4705,63,14,0,5,2586,1
8022,55,Male,57586,Email,Consideration,6599.33,0.2601,0.1358,14,3.4461,12.8526,94,14,6,9,1989,1
8023,19,Female,72243,Referral,Conversion,5144.34,0.0775,0.0615,33,6.5909,2.0531,18,5,5,3,1417,1
8024,38,Female,120566,Social Media,Awareness,2445.23,0.0375,0.0384,20,7.8306,7.3338,22,14,3,2,1563,1
8025,50,Female,144213,PPC,Conversion,9229.35,0.2929,0.0708,22,1.8527,7.9017,70,17,3,3,2227,1
8026,29,Male,78618,Email,Consideration,636.59,0.1335,0.1048,8,7.0026,8.1868,5,5,5,1,129,0
8027,39,Male,98311,Social Media,Retention,6920.24,0.0106,0.1056,39,2.5217,9.3327,98,17,6,1,2688,1
8028,61,Female,27549,Referral,Retention,6250.27,0.1547,0.0798,25,3.9527,10.6729,92,17,1,3,68,1
8029,42,Female,138168,Referral,Conversion,4466.31,0.1896,0.104,42,7.4454,0.5632,54,18,6,2,3079,1
8030,66,Male,72494,PPC,Awareness,2479.18,0.2351,0.0912,21,4.9606,0.9483,76,19,9,4,1011,1
8031,44,Male,107973,Referral,Consideration,4363.89,0.2835,0.1663,12,9.2905,9.3675,38,12,6,0,911,1
8032,59,Female,43958,Referral,Awareness,8740.45,0.2754,0.0156,24,3.1708,3.1411,24,10,5,6,4683,1
8033,45,Female,109779,Social Media,Awareness,8383.98,0.2826,0.1749,6,2.384,12.5618,97,14,2,3,467,1
8034,33,Male,127713,Social Media,Awareness,9419.67,0.0193,0.0563,26,4.0345,9.5989,82,5,7,5,653,1
8035,32,Female,127960,PPC,Consideration,3147.15,0.2164,0.1471,14,8.6673,14.7158,3,10,0,1,2429,1
8036,64,Male,114520,Email,Conversion,3932.33,0.0755,0.087,11,8.6268,11.0561,87,3,7,3,1066,1
8037,68,Male,122478,PPC,Consideration,285.39,0.0644,0.0659,44,4.3238,1.8154,32,14,6,4,257,1
8038,61,Female,149203,SEO,Consideration,9435.2,0.2421,0.1269,32,8.2886,2.9792,65,15,1,5,4709,1
